City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,saint-leu,-21.15,55.2833,291.63,60,8,0.23,RE,1722913766
282,port mathurin,-19.6833,63.4167,295.43,76,19,4.15,MU,1722913768
283,alice springs,-23.7,133.8833,289.9,51,0,5.66,AU,1722913769
284,buala,-8.145,159.5921,300.18,82,93,4.61,SB,1722913772
285,baiyin,36.5583,104.2081,299.88,46,97,6.45,CN,1722913773
286,labytnangi,66.6572,66.4183,282.82,53,33,6.38,RU,1722913774
287,conneaut,41.9476,-80.5542,297.1,91,55,3.06,US,1722913776
288,qashyr,53.0675,76.1036,295.11,63,82,4.28,KZ,1722913777
289,ulladulla,-35.35,150.4667,290.24,58,2,3.17,AU,1722913778
290,mount pearl,47.5166,-52.7813,293.13,96,100,8.23,CA,1722913779
291,lagunillas,10.1301,-71.2595,298.94,87,66,4.28,VE,1722913780
292,cambria,35.5641,-121.0808,302.56,84,43,1.16,US,1722913781
293,grand-bassam,5.2118,-3.7388,297.13,89,88,3.88,CI,1722913782
294,nar'yan-mar,67.6713,53.087,282.01,59,5,5.29,RU,1722913784
295,tangalle,6.024,80.7911,299.24,69,82,4.36,LK,1722913785
296,higuera de zaragoza,25.95,-109.2833,305.11,75,59,2.37,MX,1722913786
297,igrim,63.1906,64.4162,283.31,68,100,4.29,RU,1722913787
298,haiku-pauwela,20.9219,-156.3051,301.05,73,40,10.8,US,1722913788
299,castillos,-34.1667,-53.8333,287.35,96,100,5.36,UY,1722913789
300,kodinsk,58.6881,99.1844,296.46,48,40,2.6,RU,1722913790
301,rio preto da eva,-2.6994,-59.6997,298.57,47,0,0.91,BR,1722913515
302,kingscliff,-28.2667,153.5667,295.34,60,75,2.57,AU,1722913792
303,mandimba,-14.3548,35.6515,288.71,44,1,0.69,MZ,1722913794
304,vechta,52.7167,8.2833,289.92,84,6,2.13,DE,1722913795
305,waterloo,43.4668,-80.5164,292.8,79,100,2.85,CA,1722913622
306,shouguang,36.88,118.7375,303.55,72,99,0.73,CN,1722913797
307,al bawiti,28.3492,28.8659,298.86,35,0,2.61,EG,1722913798
308,porto novo,6.4965,2.6036,297.26,84,100,4.23,BJ,1722913799
